algorithm,seed,timestep,episode_return_mean
IPPO,0,1048576,-2376.6859208396227
IPPO,0,1056768,-2355.026911924722
IPPO,0,1069056,-2739.65931814966
IPPO,0,1077248,-2744.249996251314
IPPO,0,1089536,-2353.82318929394
IPPO,0,1097728,-2345.7430217390392
IPPO,0,1110016,-2346.911819131032
IPPO,0,1118208,-2348.7798478053883
IPPO,0,1130496,-2343.8761078039715
IPPO,0,1138688,-2808.770337672357
IPPO,0,1150976,-2831.376893804956
IPPO,0,1159168,-2843.717041774172
IPPO,0,1171456,-2844.268937311889
IPPO,0,1179648,-2833.700911990956
IPPO,0,1191936,-2810.9184159942924
IPPO,0,1200128,-2321.4724125715406
IPPO,0,1212416,-2332.3439346292544
IPPO,0,1220608,-2317.393517907225
IPPO,0,1232896,-2723.172244138268
IPPO,0,1241088,-2326.609074064545
IPPO,0,1253376,-2335.9473964697863
IPPO,0,1261568,-2643.242728041702
IPPO,0,1273856,-2340.6099023510537
IPPO,0,1282048,-2338.000383694105
IPPO,0,1294336,-2617.367650689081
IPPO,0,1302528,-2360.2841482482168
IPPO,0,1314816,-2373.16301708128
IPPO,0,1323008,-2377.698491990823
IPPO,0,1335296,-2374.0943305379024
IPPO,0,1343488,-2577.536197104312
IPPO,0,1355776,-2570.7342040507133
IPPO,0,1363968,-2396.378731555177
IPPO,0,1376256,-2579.9565870474166
IPPO,0,1384448,-2590.3801288758805
IPPO,0,1396736,-2580.650857150666
IPPO,0,1404928,-2590.505550470341
IPPO,0,1417216,-2593.7839101269574
IPPO,0,1425408,-2467.8366732104946
IPPO,0,1437696,-2584.962408498797
IPPO,0,1445888,-2508.503652011484
IPPO,0,1458176,-2600.9289941476204
IPPO,0,1466368,-2599.59800097403
IPPO,0,1478656,-2602.1223590123445
IPPO,0,1486848,-2498.5300882884835
IPPO,0,1499136,-2477.764083409245
IPPO,0,1507328,-2585.531303804224
IPPO,0,1519616,-2466.184379638464
IPPO,0,1527808,-2462.5009425380467
IPPO,0,1540096,-2585.742037406676
IPPO,0,1548288,-2434.093061964789
IPPO,0,1560576,-2426.286959883632
IPPO,0,1568768,-2578.3488008500976
IPPO,0,1581056,-2564.002291647538
IPPO,0,1589248,-2425.457508230799
IPPO,0,1601536,-2436.644816804751
IPPO,0,1609728,-2434.6342777211016
IPPO,0,1622016,-2567.1361795549465
IPPO,0,1630208,-2445.665919567997
IPPO,0,1642496,-2443.1673922836653
IPPO,0,1650688,-2539.5609317090502
IPPO,0,1662976,-2436.812961673924
IPPO,0,1671168,-2556.357780589436
IPPO,0,1683456,-2569.8300660929926
IPPO,0,1691648,-2464.27794433986
IPPO,0,1703936,-2499.117192018262
IPPO,0,1712128,-2527.14923238309
IPPO,0,1724416,-2540.672572716963
IPPO,0,1732608,-2559.927141421452
IPPO,0,1744896,-2576.709080258829
IPPO,0,1753088,-2586.7197113321354
IPPO,0,1765376,-2637.4210183323366
IPPO,0,1773568,-2605.2526706406
IPPO,0,1785856,-2608.173170104727
IPPO,0,1794048,-2681.580231034742
IPPO,0,1806336,-2594.404498490533
IPPO,0,1814528,-2610.313363805432
IPPO,0,1826816,-2611.748469326741
IPPO,0,1835008,-2607.9069974999966
IPPO,0,1847296,-2677.380544032858
IPPO,0,1855488,-2604.02014198442
IPPO,0,1867776,-2684.4181775680213
IPPO,0,1875968,-2558.5461777326923
IPPO,0,1888256,-2553.840142082196
