algorithm,seed,timestep,reward
MAPPO,0,2240000,-1214.752666106354
MAPPO,0,2250000,-1203.447338577046
MAPPO,0,2260000,-1157.2965961300276
MAPPO,0,2270000,-1322.1996311011542
MAPPO,0,2280000,-1040.3486538147097
MAPPO,0,2290000,-1221.0185351723176
MAPPO,0,2300000,-1113.480163195789
MAPPO,0,2310000,-1286.9658534824696
MAPPO,0,2320000,-1154.8100882454285
MAPPO,0,2330000,-1300.4497450347633
MAPPO,0,2340000,-1346.839301633109
MAPPO,0,2350000,-1152.1561159869343
MAPPO,0,2360000,-1241.4024259327514
MAPPO,0,2370000,-1190.6478669384578
MAPPO,0,2380000,-1149.7383567795898
MAPPO,0,2390000,-1282.4287090897974
MAPPO,0,2400000,-1318.4617536067306
MAPPO,0,2410000,-1143.3762853797546
MAPPO,0,2420000,-1199.9980712319482
MAPPO,0,2430000,-1218.7308682480311
MAPPO,0,2440000,-1263.4372729683853
MAPPO,0,2450000,-1194.7833617687145
MAPPO,0,2460000,-1281.2748990126909
MAPPO,0,2470000,-1208.3898225156847
MAPPO,0,2480000,-1300.8472591959155
MAPPO,0,2490000,-1243.8983636113337
MAPPO,0,2500000,-1231.8535514476716
MAPPO,0,2510000,-1134.1870949136626
MAPPO,0,2520000,-1253.627105557856
MAPPO,0,2530000,-1341.138113626603
MAPPO,0,2540000,-1138.3550472090865
MAPPO,0,2550000,-1309.44582081202
MAPPO,0,2560000,-1229.678064197171
MAPPO,0,2570000,-1217.8819468645336
MAPPO,0,2580000,-1144.9802537543897
MAPPO,0,2590000,-1096.0031168450405
MAPPO,0,2600000,-1196.2081348295596
MAPPO,0,2610000,-1249.8069391693575
MAPPO,0,2620000,-1378.5563822734148
MAPPO,0,2630000,-1419.3953072391316
MAPPO,0,2640000,-1183.3803120962432
MAPPO,0,2650000,-1245.068991205968
MAPPO,0,2660000,-1281.4246551583522
MAPPO,0,2670000,-1173.289831110685
MAPPO,0,2680000,-1229.514966016681
MAPPO,0,2690000,-1325.7237053077502
MAPPO,0,2700000,-1103.8194691412343
MAPPO,0,2710000,-1303.8726668127738
MAPPO,0,2720000,-1371.1441477790108
MAPPO,0,2730000,-1309.2449120126523
MAPPO,0,2740000,-1151.5507890618042
MAPPO,0,2750000,-1165.9147080571324
MAPPO,0,2760000,-1288.295571309066
MAPPO,0,2770000,-1306.4664710647094
MAPPO,0,2780000,-1352.211863393638
MAPPO,0,2790000,-1213.1928245514466
MAPPO,0,2800000,-1425.1522389038569
MAPPO,0,2810000,-1169.928175503732
MAPPO,0,2820000,-1114.276595339918
MAPPO,0,2830000,-1257.7808431090205
MAPPO,0,2840000,-1353.5415924413417
MAPPO,0,2850000,-1239.321381428936
MAPPO,0,2860000,-1334.2145043849707
MAPPO,0,2870000,-1454.543236313359
MAPPO,0,2880000,-1184.23065667867
MAPPO,0,2890000,-1419.9989641269606
MAPPO,0,2900000,-1354.2847793876265
MAPPO,0,2910000,-1328.0590580069934
MAPPO,0,2920000,-1358.0736446968194
MAPPO,0,2930000,-1209.2369637330687
MAPPO,0,2940000,-1278.7277163545807
MAPPO,0,2950000,-1306.4593859821853
MAPPO,0,2960000,-1530.318439226488
MAPPO,0,2970000,-1177.1623145405947
MAPPO,0,2980000,-1410.8005981765762
MAPPO,0,2990000,-1507.4849909687505
MAPPO,0,3000000,-1435.478324889248
MAPPO,0,3010000,-1222.516166871061
MAPPO,0,3020000,-1266.5164337211172
MAPPO,0,3030000,-1098.8183959787077
MAPPO,0,3040000,-1365.7595643910583
MAPPO,0,3050000,-1185.430161423578
MAPPO,0,3060000,-1198.746598971166
MAPPO,0,3070000,-1490.0844982790798
MAPPO,0,3080000,-1288.5588948382626
MAPPO,0,3090000,-1275.368472592071
MAPPO,0,3100000,-1198.6852894877647
MAPPO,0,3110000,-1065.1200795719856
MAPPO,0,3120000,-1218.2186359987402
MAPPO,0,3130000,-1171.915823645168
MAPPO,0,3140000,-1451.5863388580922
MAPPO,0,3150000,-1264.071534483748
MAPPO,0,3160000,-1198.0215512949587
MAPPO,0,3170000,-1294.2577940759631
MAPPO,0,3180000,-1273.3623932989503
MAPPO,0,3190000,-1181.1913324844877
MAPPO,0,3200000,-1492.6601732918712
MAPPO,0,3210000,-1377.2900835421754
MAPPO,0,3220000,-1334.0474062894982
MAPPO,0,3230000,-1319.8941963396162
MAPPO,0,3240000,-1422.8026473606708
